id,category,superclass,marker,affirmative,negated
1778,Modals,Particle,will not,The actor will review the contract.,The actor will not review the contract.
1779,Sentential negative quantifiers,Negative quantifiers,none,Some of the machines were replaced.,None of the machines were replaced.
1780,Partial negation,Negative quantifiers,not every,Every artist is experienced.,Not every artist is experienced.
1781,Exceptors,Negative quantifiers,except,Every doctor is present.,Every doctor is present except the deputy head.
1782,Double negation / negative concord,Double negation,not uncommon,The parking lot is common.,The parking lot is not uncommon.
1783,Modals,Particle,wouldn't,The editor would approve the budget.,The editor wouldn't approve the budget.
1784,Approximate negators,Scalar / restrictive,scarcely ever,The patients often review the contract.,The patients scarcely ever review the contract.
1785,Negative imperatives,Clausal / discourse,no + gerund,Disconnecting the cable near the equipment is allowed.,No disconnecting the cable near the equipment.
1786,Neg-raising,Clausal / discourse,don't suppose,We suppose that the decision is final.,We don't suppose the decision is final.
1787,Approximate negators,Scalar / restrictive,barely ever,The customers often follow the instructions.,The customers barely ever follow the instructions.
1788,Conditional negation,Clausal / discourse,unless,"If you back up the data, the shipment will be returned.","Unless you back up the data, the shipment will be returned."
1789,Sentential negative quantifiers,Negative quantifiers,none,Some of the students answered correctly.,None of the students answered correctly.
1790,Modals,Particle,cannot,The actor can work on weekends.,The actor cannot work on weekends.
1791,Restrictive/exclusive particles,Scalar / restrictive,just,Several people received training.,Just the volunteer received training.
1792,Partial negation,Negative quantifiers,not all,All employees are present.,Not all employees are present.
1793,Conditional negation,Clausal / discourse,unless,"If you follow the instructions, the trial will expire.","Unless you follow the instructions, the trial will expire."
1794,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The teacher is upset.,"The teacher is not upset, the teacher is furious."
1795,Correlative negation,Negative quantifiers,neither...nor,Both the trainee and the mentor are prepared.,Neither the trainee nor the mentor is prepared.
1796,Copula,Particle,is not,The farmer is transparent.,The farmer is not transparent.
1797,Double negation / negative concord,Double negation,not inconvenient,The speech is convenient.,The speech is not inconvenient.
1798,Affixial negation,Affixial,immature,The lawyers are mature.,The lawyers are immature.
1799,Do-support auxiliary,Particle,didn't,The doctor confirmed the appointment.,The doctor didn't confirm the appointment.
1800,Do-support auxiliary,Particle,did not,The scientists worked on weekends.,The scientists did not work on weekends.
1801,Approximate negators,Scalar / restrictive,barely ever,The officers often finish the report.,The officers barely ever finish the report.
1802,Affixial negation,Affixial,unusual,The room is usual.,The room is unusual.
1803,Conditional negation,Clausal / discourse,unless,"If you review the changes, the offer will expire.","Unless you review the changes, the offer will expire."
1804,Copula,Particle,are not,The lawyers are fair.,The lawyers are not fair.
1805,Exceptors,Negative quantifiers,except,Every student is present.,Every student is present except the injured player.
1806,Affixial negation,Affixial,inappropriate,The warehouse is appropriate.,The warehouse is inappropriate.
1807,Inherent negative verbs/adjectives,Lexical negation,lacked,The agency secured funding.,The agency lacked funding.
1808,Correlative negation,Negative quantifiers,neither...nor,Both the scientist and the analyst are licensed.,Neither the scientist nor the analyst is licensed.
1809,Partial negation,Negative quantifiers,not every,Every actor is prepared.,Not every actor is prepared.
1810,Affixial negation,Affixial,irresponsible,The customer is responsible.,The customer is irresponsible.
1811,Restrictive/exclusive particles,Scalar / restrictive,only,Several people received a bonus.,Only the auditor received a bonus.
1812,Conditional negation,Clausal / discourse,unless,"If you provide feedback, the invoice will be overdue.","Unless you provide feedback, the invoice will be overdue."
1813,Double negation / negative concord,Double negation,not inconsistent,The article is consistent.,The article is not inconsistent.
1814,Conditional negation,Clausal / discourse,unless,"If you call support, the meeting will be rescheduled.","Unless you call support, the meeting will be rescheduled."
1815,Affixial negation,Affixial,illegal,The company is legal.,The company is illegal.
1816,Restrictive/exclusive particles,Scalar / restrictive,only,Several people qualified for the finals.,Only the moderator qualified for the finals.
1817,Conditional negation,Clausal / discourse,unless,"If you notify the manager, the shipment will be returned.","Unless you notify the manager, the shipment will be returned."
1818,Exceptors,Negative quantifiers,other than,Every player is present.,Every player is present other than the incoming trainee.
1819,Exceptors,Negative quantifiers,except,Every doctor is present.,Every doctor is present except the outgoing director.
1820,Sentential negative quantifiers,Negative quantifiers,nothing,Something appeared on the screen yesterday.,Nothing appeared on the screen yesterday.
1821,Inherent negative verbs/adjectives,Lexical negation,missed,The actors achieved the target.,The actors missed the target.
1822,Restrictive/exclusive particles,Scalar / restrictive,only,Several people received an invitation.,Only the volunteer received an invitation.
1823,Modals,Particle,wouldn't,The interns would follow the instructions.,The interns wouldn't follow the instructions.
1824,Correlative negation,Negative quantifiers,neither...nor,Both the contract and the amendment are finalized.,Neither the contract nor the amendment is finalized.
1825,Conditional negation,Clausal / discourse,unless,"If you return the item, the offer will expire.","Unless you return the item, the offer will expire."
1826,Negative imperatives,Clausal / discourse,don't,Please press the button without supervision.,Don't press the button without supervision.
1827,Do-support auxiliary,Particle,didn't,The referee cared about the outcome.,The referee didn't care about the outcome.
1828,Exceptors,Negative quantifiers,other than,Every report is accounted for.,Every report is accounted for other than the retired device.
1829,Prepositional negation,Lexical negation,devoid of,The software has bugs.,The software is devoid of bugs.
1830,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people confirmed attendance.,Merely the planner confirmed attendance.
1831,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The nurse still drinks coffee daily.,The nurse has ceased drinking coffee daily.
1832,Conditional negation,Clausal / discourse,unless,"If you renew the license, the offer will expire.","Unless you renew the license, the offer will expire."
1833,Negative imperatives,Clausal / discourse,no + gerund,Sharing the password during the demo is allowed.,No sharing the password during the demo.
1834,Prepositional negation,Lexical negation,devoid of,The survey has bias.,The survey is devoid of bias.
1835,Negative imperatives,Clausal / discourse,don't,Please press the button in the studio.,Don't press the button in the studio.
1836,Approximate negators,Scalar / restrictive,seldom,The scientists often care about the outcome.,The scientists seldom care about the outcome.
1837,Conditional negation,Clausal / discourse,unless,"If you confirm the order, the warranty will be void.","Unless you confirm the order, the warranty will be void."
1838,Restrictive/exclusive particles,Scalar / restrictive,only,Several people received a bonus.,Only the founder received a bonus.
1839,Partial negation,Negative quantifiers,not every,Every nurse is informed.,Not every nurse is informed.
1840,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The office is expensive.,"The office is not expensive, the office is priceless."
1841,Approximate negators,Scalar / restrictive,rarely,The coaches often know the answer.,The coaches rarely know the answer.
1842,Prepositional negation,Lexical negation,lacking,The vehicle has airbags.,The vehicle is lacking airbags.
1843,Inherent negative verbs/adjectives,Lexical negation,lost,The committee maintained contact.,The committee lost contact.
1844,Do-support auxiliary,Particle,didn't,The visitors finished the report.,The visitors didn't finish the report.
1845,Partial negation,Negative quantifiers,not every,Every soldier is registered.,Not every soldier is registered.
1846,Conditional negation,Clausal / discourse,unless,"If you sign the contract, the deal will be canceled.","Unless you sign the contract, the deal will be canceled."
1847,Partial negation,Negative quantifiers,not every,Every chip is registered.,Not every chip is registered.
1848,Inherent negative verbs/adjectives,Lexical negation,resisted,The visitors welcomed the change.,The visitors resisted the change.
1849,Restrictive/exclusive particles,Scalar / restrictive,just,Several people responded to the email.,Just the consultant responded to the email.
1850,Affixial negation,Affixial,irregular,The report is regular.,The report is irregular.
1851,Sentential negative quantifiers,Negative quantifiers,no one,Somebody confirmed the appointment by mistake.,No one confirmed the appointment by mistake.
1852,Modals,Particle,shouldn't,The lawyer should complete the assignment.,The lawyer shouldn't complete the assignment.
1853,Approximate negators,Scalar / restrictive,seldom,The lawyers often complete the assignment.,The lawyers seldom complete the assignment.
1854,Approximate negators,Scalar / restrictive,barely ever,The tourists often believe the rumor.,The tourists barely ever believe the rumor.
1855,Partial negation,Negative quantifiers,not every,Every presentation is valid.,Not every presentation is valid.
1856,Inherent negative verbs/adjectives,Lexical negation,concealed,The supervisor reported the incident.,The supervisor concealed the incident.
1857,Copula,Particle,is not,The laptop is efficient.,The laptop is not efficient.
1858,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The consultant is busy.,"The consultant is not busy, the consultant is overwhelmed."
1859,Partial negation,Negative quantifiers,not all,All participants are available.,Not all participants are available.
1860,Copula,Particle,aren't,The interns are reasonable.,The interns aren't reasonable.
1861,Modals,Particle,wouldn't,The analyst would follow the instructions.,The analyst wouldn't follow the instructions.
1862,Approximate negators,Scalar / restrictive,barely ever,The volunteers often arrive on time.,The volunteers barely ever arrive on time.
1863,Modals,Particle,would not,The engine would require maintenance.,The engine would not require maintenance.
1864,Copula,Particle,aren't,The engineers are comfortable.,The engineers aren't comfortable.
1865,Inherent negative verbs/adjectives,Lexical negation,withheld,The actors provided evidence.,The actors withheld evidence.
1866,Affixial negation,Affixial,inconvenient,The invoice is convenient.,The invoice is inconvenient.
1867,Double negation / negative concord,Double negation,not unhappy,The analyst is happy.,The analyst is not unhappy.
1868,Do-support auxiliary,Particle,didn't,The driver knew the answer.,The driver didn't know the answer.
1869,Exceptors,Negative quantifiers,besides,Every visitor is present.,Every visitor is present besides the deputy head.
1870,Approximate negators,Scalar / restrictive,scarcely ever,The drivers often read the manual.,The drivers scarcely ever read the manual.
1871,Copula,Particle,isn't,The offer is complete.,The offer isn't complete.
1872,Conditional negation,Clausal / discourse,unless,"If you renew the license, the fine will increase.","Unless you renew the license, the fine will increase."
1873,Correlative negation,Negative quantifiers,neither...nor,Both the host and the guest are licensed.,Neither the host nor the guest is licensed.
1874,Modals,Particle,will not,The witnesses will handle the situation.,The witnesses will not handle the situation.
1875,Sentential negative quantifiers,Negative quantifiers,nothing,Something was flagged before launch.,Nothing was flagged before launch.
1876,Inherent negative verbs/adjectives,Lexical negation,was,The foundation obtained approval.,The foundation was denied approval.
1877,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people passed the exam.,The volunteer alone passed the exam.
1878,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The sensor is expensive.,"The sensor is not expensive, the sensor is priceless."
1879,Inherent negative verbs/adjectives,Lexical negation,withheld,The cooperative provided evidence.,The cooperative withheld evidence.
1880,Partial negation,Negative quantifiers,not every,Every survey is operational.,Not every survey is operational.
1881,Approximate negators,Scalar / restrictive,few,Many reports were delivered on time.,Few reports were delivered on time.
1882,Inherent negative verbs/adjectives,Lexical negation,denied,The technician confirmed the delivery.,The technician denied the delivery.
1883,Restrictive/exclusive particles,Scalar / restrictive,only,Several people attended the ceremony.,Only the specialist attended the ceremony.
1884,Conditional negation,Clausal / discourse,unless,"If you review the changes, the fine will increase.","Unless you review the changes, the fine will increase."
1885,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The room is slow.,"The room is not slow, the room is sluggish."
1886,Sentential negative quantifiers,Negative quantifiers,none,Some of the participants found the error.,None of the participants found the error.
1887,Affixial negation,Affixial,nonfunctional,The sensor is functional.,The sensor is nonfunctional.
1888,Prepositional negation,Lexical negation,devoid of,The room has windows.,The room is devoid of windows.
1889,Affixial negation,Affixial,disconnected,The printer is connected.,The printer is disconnected.
1890,Affixial negation,Affixial,insensitive,The tenants are sensitive.,The tenants are insensitive.
1891,Correlative negation,Negative quantifiers,neither...nor,Both the sensor and the camera are tested.,Neither the sensor nor the camera is tested.
1892,Do-support auxiliary,Particle,didn't,The lawyer handled the situation.,The lawyer didn't handle the situation.
1893,Inherent negative verbs/adjectives,Lexical negation,denied,The scientists granted access.,The scientists denied access.
1894,Modals,Particle,wouldn't,The battery would restart automatically.,The battery wouldn't restart automatically.
1895,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The camera is cold.,"The camera is not cold, the camera is freezing."
1896,Modals,Particle,can't,The coaches can read the manual.,The coaches can't read the manual.
1897,Double negation / negative concord,Double negation,ain't...no,She has some idea.,She ain't got no idea.
1898,Conditional negation,Clausal / discourse,unless,"If you follow the instructions, the contract will end.","Unless you follow the instructions, the contract will end."
1899,Copula,Particle,isn't,The survey is ready.,The survey isn't ready.
1900,Modals,Particle,wouldn't,The candidates would enjoy the concert.,The candidates wouldn't enjoy the concert.
1901,Modals,Particle,shouldn't,The participants should recall the details.,The participants shouldn't recall the details.
1902,Negative imperatives,Clausal / discourse,don't,Please access this area on the premises.,Don't access this area on the premises.
1903,Do-support auxiliary,Particle,did not,The referee followed the instructions.,The referee did not follow the instructions.
1904,Modals,Particle,cannot,The artist can follow the instructions.,The artist cannot follow the instructions.
1905,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The database is expensive.,"The database is not expensive, the database is priceless."
1906,Double negation / negative concord,Double negation,ain't...no,She has some reason.,She ain't got no reason.
1907,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The server is new.,"The server is not new, the server is brand-new."
1908,Affixial negation,Affixial,impossible,The platform is possible.,The platform is impossible.
1909,Restrictive/exclusive particles,Scalar / restrictive,only,Several people submitted a proposal.,Only the planner submitted a proposal.
1910,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The visitors are interested.,"The visitors are not interested, the visitors are fascinated."
1911,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The doctors are strong.,"The doctors are not strong, the doctors are powerful."
1912,Neg-raising,Clausal / discourse,don't think,We think that the trial will succeed.,We don't think the trial will succeed.
1913,Approximate negators,Scalar / restrictive,scarcely ever,The patients often complete the assignment.,The patients scarcely ever complete the assignment.
1914,Sentential negative quantifiers,Negative quantifiers,nothing,Something needed fixing by mistake.,Nothing needed fixing by mistake.
1915,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The tenants are happy.,"The tenants are not happy, the tenants are ecstatic."
1916,Copula,Particle,is not,The speech is clear.,The speech is not clear.
1917,Do-support auxiliary,Particle,didn't,The nurses supported the initiative.,The nurses didn't support the initiative.
1918,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The student is interested.,"The student is not interested, the student is fascinated."
1919,Correlative negation,Negative quantifiers,neither...nor,Both the manager and the assistant are notified.,Neither the manager nor the assistant is notified.
1920,Partial negation,Negative quantifiers,not every,Every network is functional.,Not every network is functional.
1921,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The doctor still manages the account.,The doctor has stopped managing the account.
1922,Modals,Particle,will not,The teacher will care about the outcome.,The teacher will not care about the outcome.
1923,Modals,Particle,can't,The contestants can care about the outcome.,The contestants can't care about the outcome.
1924,Affixial negation,Affixial,ineffective,The agreement is effective.,The agreement is ineffective.
1925,Approximate negators,Scalar / restrictive,hardly ever,The athletes often follow the instructions.,The athletes hardly ever follow the instructions.
1926,Prepositional negation,Lexical negation,free of,The policy has enforcement measures.,The policy is free of enforcement measures.
1927,Conditional negation,Clausal / discourse,unless,"If you notify the manager, the account will be suspended.","Unless you notify the manager, the account will be suspended."
1928,Double negation / negative concord,Double negation,not irresponsible,The scientist is responsible.,The scientist is not irresponsible.
1929,Affixial negation,Affixial,irresponsible,The volunteers are responsible.,The volunteers are irresponsible.
1930,Prepositional negation,Lexical negation,minus,The survey has clear questions.,The survey is minus clear questions.
1931,Neg-raising,Clausal / discourse,don't expect,They expect that he will agree.,They don't expect he will agree.
1932,Inherent negative verbs/adjectives,Lexical negation,withheld,The agency provided evidence.,The agency withheld evidence.
1933,Prepositional negation,Lexical negation,without,The toolset has support.,The toolset is without support.
1934,Affixial negation,Affixial,unusual,The presentation is usual.,The presentation is unusual.
1935,Sentential negative quantifiers,Negative quantifiers,nothing,Something was reported at the conference.,Nothing was reported at the conference.
1936,Copula,Particle,are not,The contestants are efficient.,The contestants are not efficient.
1937,Neg-raising,Clausal / discourse,don't expect,I expect that the report is complete.,I don't expect the report is complete.
1938,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people met the requirements.,Merely the planner met the requirements.
1939,Partial negation,Negative quantifiers,not all,All visitors are qualified.,Not all visitors are qualified.
1940,Approximate negators,Scalar / restrictive,scarcely ever,The witnesses often finish the report.,The witnesses scarcely ever finish the report.
1941,Affixial negation,Affixial,nonfunctional,The camera is functional.,The camera is nonfunctional.
1942,Aspectual/presuppositional negation,Clausal / discourse,no longer,The analyst still reads the newspaper.,The analyst no longer reads the newspaper.
1943,Neg-raising,Clausal / discourse,don't suppose,I suppose that the policy will change.,I don't suppose the policy will change.
1944,Approximate negators,Scalar / restrictive,scarcely ever,The farmers often enjoy the concert.,The farmers scarcely ever enjoy the concert.
1945,Negative imperatives,Clausal / discourse,no + gerund,Removing safety guards during operation is allowed.,No removing safety guards during operation.
1946,Correlative negation,Negative quantifiers,neither...nor,Both the technician and the specialist are licensed.,Neither the technician nor the specialist is licensed.
1947,Exceptors,Negative quantifiers,besides,Every prototype is accounted for.,Every prototype is accounted for besides the older version.
1948,Restrictive/exclusive particles,Scalar / restrictive,alone,Several people qualified for the finals.,The volunteer alone qualified for the finals.
1949,Exceptors,Negative quantifiers,other than,Every participant is present.,Every participant is present other than the absent member.
1950,Double negation / negative concord,Double negation,ain't...no,We have some interest.,We ain't got no interest.
1951,Affixial negation,Affixial,irregular,The council is regular.,The council is irregular.
1952,Restrictive/exclusive particles,Scalar / restrictive,only,Several people received feedback.,Only the consultant received feedback.
1953,Approximate negators,Scalar / restrictive,barely ever,The contestants often handle the situation.,The contestants barely ever handle the situation.
1954,Affixial negation,Affixial,unhappy,The tourists are happy.,The tourists are unhappy.
1955,Modals,Particle,should not,The doctor should agree with the decision.,The doctor should not agree with the decision.
1956,Modals,Particle,shouldn't,The applicant should know the answer.,The applicant shouldn't know the answer.
1957,Modals,Particle,can't,The laptop can overheat under load.,The laptop can't overheat under load.
1958,Correlative negation,Negative quantifiers,neither...nor,Both the file and the backup are finalized.,Neither the file nor the backup is finalized.
1959,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody arrived on time after the review.,Nobody arrived on time after the review.
1960,Exceptors,Negative quantifiers,besides,Every shipment is accounted for.,Every shipment is accounted for besides the test prototype.
1961,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody arrived on time during setup.,Nobody arrived on time during setup.
1962,Copula,Particle,is not,The auditor is fair.,The auditor is not fair.
1963,Negative imperatives,Clausal / discourse,don't,Please leave luggage unattended in the lobby.,Don't leave luggage unattended in the lobby.
1964,Aspectual/presuppositional negation,Clausal / discourse,no longer,The soldier still smokes.,The soldier no longer smokes.
1965,Partial negation,Negative quantifiers,not every,Every contract is damaged.,Not every contract is damaged.
1966,Neg-raising,Clausal / discourse,doesn't believe,She believes that the results are accurate.,She doesn't believe the results are accurate.
1967,Correlative negation,Negative quantifiers,neither...nor,Both the host and the guest are informed.,Neither the host nor the guest is informed.
1968,Restrictive/exclusive particles,Scalar / restrictive,only,Several people received an invitation.,Only the consultant received an invitation.
1969,Do-support auxiliary,Particle,didn't,The participants remembered the address.,The participants didn't remember the address.
1970,Neg-raising,Clausal / discourse,don't think,We think that he will agree.,We don't think he will agree.
1971,Inherent negative verbs/adjectives,Lexical negation,rejected,The editor approved the design.,The editor rejected the design.
1972,Inherent negative verbs/adjectives,Lexical negation,failed,The tourist succeeded in arriving on time.,The tourist failed to arrive on time.
1973,Inherent negative verbs/adjectives,Lexical negation,dismissed,The intern recognized the contribution.,The intern dismissed the contribution.
1974,Conditional negation,Clausal / discourse,unless,"If you approve the request, the membership will lapse.","Unless you approve the request, the membership will lapse."
1975,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The farmers are nervous.,"The farmers are not nervous, the farmers are terrified."
1976,Double negation / negative concord,Double negation,not inaccurate,The offer is accurate.,The offer is not inaccurate.
1977,Double negation / negative concord,Double negation,not incomplete,The sensor is complete.,The sensor is not incomplete.
1978,Do-support auxiliary,Particle,did not,The lawyer followed the instructions.,The lawyer did not follow the instructions.
1979,Modals,Particle,wouldn't,The laptop would handle heavy load.,The laptop wouldn't handle heavy load.
1980,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The engineer still writes a blog.,The engineer has stopped writing a blog.
1981,Approximate negators,Scalar / restrictive,scarcely ever,The patients often support the initiative.,The patients scarcely ever support the initiative.
1982,Neg-raising,Clausal / discourse,doesn't believe,He believes that the launch will happen.,He doesn't believe the launch will happen.
1983,Correlative negation,Negative quantifiers,neither...nor,Both the technician and the specialist are registered.,Neither the technician nor the specialist is registered.
1984,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The analyst still uses the old system.,The analyst has stopped using the old system.
1985,Sentential negative quantifiers,Negative quantifiers,nobody,Somebody supported the initiative before the deadline.,Nobody supported the initiative before the deadline.
1986,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The volunteers are weak.,"The volunteers are not weak, the volunteers are frail."
1987,Affixial negation,Affixial,unusual,The garage is usual.,The garage is unusual.
1988,Negative imperatives,Clausal / discourse,no + gerund,Forwarding this email in this area is allowed.,No forwarding this email in this area.
1989,Partial negation,Negative quantifiers,not every,Every presentation is current.,Not every presentation is current.
1990,Copula,Particle,are not,The patients are fair.,The patients are not fair.
1991,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The office is good.,"The office is not good, the office is excellent."
1992,Correlative negation,Negative quantifiers,neither...nor,Both the lawyer and the judge are informed.,Neither the lawyer nor the judge is informed.
1993,Partial negation,Negative quantifiers,not every,Every actor is responsive.,Not every actor is responsive.
1994,Conditional negation,Clausal / discourse,unless,"If you provide feedback, the deal will be canceled.","Unless you provide feedback, the deal will be canceled."
1995,Sentential negative quantifiers,Negative quantifiers,nothing,Something went wrong before noon.,Nothing went wrong before noon.
1996,Negative imperatives,Clausal / discourse,never,Always leave the door open near the equipment.,Never leave the door open near the equipment.
1997,Approximate negators,Scalar / restrictive,hardly ever,The volunteers often handle the situation.,The volunteers hardly ever handle the situation.
1998,Modals,Particle,should not,The actors should eat vegetables.,The actors should not eat vegetables.
1999,Negative imperatives,Clausal / discourse,don't,Please touch that in the workshop.,Don't touch that in the workshop.
2000,Copula,Particle,are not,The students are popular.,The students are not popular.
2001,Inherent negative verbs/adjectives,Lexical negation,missed,The foundation respected the deadline.,The foundation missed the deadline.
2002,Copula,Particle,isn't,The student is flexible.,The student isn't flexible.
2003,Double negation / negative concord,Double negation,not inaccurate,The application is accurate.,The application is not inaccurate.
2004,Partial negation,Negative quantifiers,not every,Every pilot is cooperative.,Not every pilot is cooperative.
2005,Negative imperatives,Clausal / discourse,never,Always use this device without training.,Never use this device without training.
2006,Do-support auxiliary,Particle,did not,The customers cared about the outcome.,The customers did not care about the outcome.
2007,Double negation / negative concord,Double negation,not unknown,The engine is known.,The engine is not unknown.
2008,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The actor still collects stamps.,The actor has ceased collecting stamps.
2009,Copula,Particle,is not,The agreement is useful.,The agreement is not useful.
2010,Restrictive/exclusive particles,Scalar / restrictive,merely,Several people came to the meeting.,Merely the founder came to the meeting.
2011,Double negation / negative concord,Double negation,not unhappy,The nurse is happy.,The nurse is not unhappy.
2012,Approximate negators,Scalar / restrictive,seldom,The visitors often believe the rumor.,The visitors seldom believe the rumor.
2013,Conditional negation,Clausal / discourse,unless,"If you schedule the appointment, the membership will lapse.","Unless you schedule the appointment, the membership will lapse."
2014,Inherent negative verbs/adjectives,Lexical negation,doubted,The managers trusted the report.,The managers doubted the report.
2015,Exceptors,Negative quantifiers,but for,Every driver is present.,Every driver is present but for the manager.
2016,Correlative negation,Negative quantifiers,neither...nor,Both the driver and the passenger are notified.,Neither the driver nor the passenger is notified.
2017,Correlative negation,Negative quantifiers,neither...nor,Both the chef and the waiter are prepared.,Neither the chef nor the waiter is prepared.
2018,Prepositional negation,Lexical negation,minus,The transaction has authorization.,The transaction is minus authorization.
2019,Correlative negation,Negative quantifiers,neither...nor,Both the applicant and the reviewer are invited.,Neither the applicant nor the reviewer is invited.
2020,Aspectual/presuppositional negation,Clausal / discourse,no longer,The soldier still attends the gym.,The soldier no longer attends the gym.
2021,Neg-raising,Clausal / discourse,doesn't suppose,She supposes that the merger will proceed.,She doesn't suppose the merger will proceed.
2022,Affixial negation,Affixial,uncomfortable,The auditor is comfortable.,The auditor is uncomfortable.
2023,Copula,Particle,is not,The student is available.,The student is not available.
2024,Prepositional negation,Lexical negation,devoid of,The article has a conclusion.,The article is devoid of a conclusion.
2025,Do-support auxiliary,Particle,didn't,The applicants agreed with the decision.,The applicants didn't agree with the decision.
2026,Exceptors,Negative quantifiers,other than,Every patient is present.,Every patient is present other than the outgoing director.
2027,Neg-raising,Clausal / discourse,doesn't think,She thinks that the plan will work.,She doesn't think the plan will work.
2028,Approximate negators,Scalar / restrictive,hardly ever,The employees often believe the rumor.,The employees hardly ever believe the rumor.
2029,Exceptors,Negative quantifiers,other than,Every officer is present.,Every officer is present other than the supervisor.
2030,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The scanner is loud.,"The scanner is not loud, the scanner is deafening."
2031,Double negation / negative concord,Double negation,not inconvenient,The cabin is convenient.,The cabin is not inconvenient.
2032,Approximate negators,Scalar / restrictive,little,Considerable interest was provided.,Little interest was provided.
2033,Double negation / negative concord,Double negation,not inconvenient,The proposal is convenient.,The proposal is not inconvenient.
2034,Affixial negation,Affixial,dissatisfied,The supervisor is satisfied.,The supervisor is dissatisfied.
2035,Prepositional negation,Lexical negation,lacking,The apartment has a garage.,The apartment is lacking a garage.
2036,Copula,Particle,isn't,The antenna is ready.,The antenna isn't ready.
2037,Aspectual/presuppositional negation,Clausal / discourse,has ceased,The supervisor still uses public transport.,The supervisor has ceased using public transport.
2038,Negative imperatives,Clausal / discourse,no + gerund,Using flash photography during the ceremony is allowed.,No using flash photography during the ceremony.
2039,Partial negation,Negative quantifiers,not all,All employees are registered.,Not all employees are registered.
2040,Affixial negation,Affixial,intolerant,The tourist is tolerant.,The tourist is intolerant.
2041,Inherent negative verbs/adjectives,Lexical negation,resisted,The cooperative welcomed the change.,The cooperative resisted the change.
2042,Metalinguistic negation,Metalinguistic negation,"not X, Y instead",The technician is interested.,"The technician is not interested, the technician is fascinated."
2043,Double negation / negative concord,Double negation,not inconvenient,The offer is convenient.,The offer is not inconvenient.
2044,Copula,Particle,is not,The driver is reliable.,The driver is not reliable.
2045,Partial negation,Negative quantifiers,not every,Every customer is qualified.,Not every customer is qualified.
2046,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The manager still visits the clinic.,The manager has stopped visiting the clinic.
2047,Correlative negation,Negative quantifiers,neither...nor,Both the pilot and the copilot are certified.,Neither the pilot nor the copilot is certified.
2048,Negative imperatives,Clausal / discourse,no + gerund,Modifying the settings in the studio is allowed.,No modifying the settings in the studio.
2049,Sentential negative quantifiers,Negative quantifiers,nothing,Something was missing from the shipment after the review.,Nothing was missing from the shipment after the review.
2050,Inherent negative verbs/adjectives,Lexical negation,canceled,The professor kept the appointment.,The professor canceled the appointment.
2051,Restrictive/exclusive particles,Scalar / restrictive,only,Several people received feedback.,Only the observer received feedback.
2052,Prepositional negation,Lexical negation,without,The interview has preparation.,The interview is without preparation.
2053,Neg-raising,Clausal / discourse,don't think,I think that the design is finished.,I don't think the design is finished.
2054,Do-support auxiliary,Particle,didn't,The teachers approved the budget.,The teachers didn't approve the budget.
2055,Exceptors,Negative quantifiers,but for,Every report is accounted for.,Every report is accounted for but for the damaged unit.
2056,Correlative negation,Negative quantifiers,neither...nor,Both the chef and the waiter are notified.,Neither the chef nor the waiter is notified.
2057,Do-support auxiliary,Particle,didn't,The candidates supported the initiative.,The candidates didn't support the initiative.
2058,Do-support auxiliary,Particle,didn't,The athletes completed the assignment.,The athletes didn't complete the assignment.
2059,Neg-raising,Clausal / discourse,don't believe,We believe that the vendor will deliver.,We don't believe the vendor will deliver.
2060,Prepositional negation,Lexical negation,minus,The product has defects.,The product is minus defects.
2061,Approximate negators,Scalar / restrictive,seldom,The engineers often handle the situation.,The engineers seldom handle the situation.
2062,Aspectual/presuppositional negation,Clausal / discourse,has stopped,The engineer still plays tennis.,The engineer has stopped playing tennis.
2063,Affixial negation,Affixial,incapable,The nurse is capable.,The nurse is incapable.
2064,Correlative negation,Negative quantifiers,neither...nor,Both the policy and the guideline are available.,Neither the policy nor the guideline is available.
